"DATA No","DATE","TIME","SensorId","Value"
311,2020/05/13,08:38:45,1,0.000000E+00
312,2020/05/13,08:38:46,2,0.000000E+00
313,2020/05/13,08:39:00,1,0.000000E+00
314,2020/05/13,08:39:01,2,0.000000E+00
315,2020/05/13,08:39:15,1,0.000000E+00
316,2020/05/13,08:39:16,2,0.000000E+00
317,2020/05/13,08:39:30,1,0.000000E+00
318,2020/05/13,08:39:31,2,9.554688E+01
319,2020/05/13,08:39:45,1,0.000000E+00
320,2020/05/13,08:39:46,2,3.304688E+01
321,2020/05/13,08:40:00,1,0.000000E+00
322,2020/05/13,08:40:01,2,1.703125E+01
323,2020/05/13,08:40:15,1,0.000000E+00
324,2020/05/13,08:40:16,2,1.640626E+01
325,2020/05/13,08:40:30,1,0.000000E+00
326,2020/05/13,08:40:31,2,7.750000E+01
327,2020/05/13,08:40:45,1,0.000000E+00
328,2020/05/13,08:40:46,2,4.945313E+01
329,2020/05/13,08:41:00,1,0.000000E+00
330,2020/05/13,08:41:01,2,1.150781E+02
331,2020/05/13,08:41:15,1,0.000000E+00
332,2020/05/13,08:41:16,2,0.000000E+00
333,2020/05/13,08:41:30,1,7.226563E+01
334,2020/05/13,08:41:31,2,1.069531E+02
335,2020/05/13,08:41:45,1,8.226564E+01
336,2020/05/13,08:41:46,2,0.000000E+00
337,2020/05/13,08:42:00,1,0.000000E+00
338,2020/05/13,08:42:01,2,5.968750E+01
339,2020/05/13,08:42:15,1,6.046875E+01
340,2020/05/13,08:42:16,2,9.242188E+01
341,2020/05/13,08:42:30,1,8.835938E+01
342,2020/05/13,08:42:31,2,0.000000E+00
343,2020/05/13,08:42:45,1,1.022656E+02
344,2020/05/13,08:42:46,2,1.203125E+01
345,2020/05/13,08:43:00,1,8.281250E+01
346,2020/05/13,08:43:01,2,0.000000E+00
347,2020/05/13,08:43:15,1,4.406250E+01
348,2020/05/13,08:43:16,2,1.215625E+02
349,2020/05/13,08:43:30,1,7.882813E+01
350,2020/05/13,08:43:31,2,1.546875E+01
351,2020/05/13,08:43:45,1,1.140625E+02
352,2020/05/13,08:43:46,2,1.059375E+02
353,2020/05/13,08:44:00,1,0.000000E+00
354,2020/05/13,08:44:01,2,1.057031E+02
355,2020/05/13,08:44:15,1,0.000000E+00
356,2020/05/13,08:44:16,2,2.554688E+01
357,2020/05/13,08:44:30,1,0.000000E+00
358,2020/05/13,08:44:31,2,1.703125E+01
359,2020/05/13,08:44:45,1,4.445313E+01
360,2020/05/13,08:44:46,2,0.000000E+00
361,2020/05/13,08:45:00,1,1.017969E+02
362,2020/05/13,08:45:01,2,0.000000E+00
363,2020/05/13,08:45:15,1,1.390625E+01
364,2020/05/13,08:45:16,2,0.000000E+00
365,2020/05/13,08:45:30,1,1.151563E+02
366,2020/05/13,08:45:31,2,0.000000E+00
367,2020/05/13,08:45:45,1,6.250000E+01
368,2020/05/13,08:45:46,2,8.000000E+01
369,2020/05/13,08:46:00,1,4.695313E+01
370,2020/05/13,08:46:01,2,0.000000E+00
371,2020/05/13,08:46:15,1,8.742188E+01
372,2020/05/13,08:46:16,2,1.167969E+02
373,2020/05/13,08:46:30,1,1.152344E+02
374,2020/05/13,08:46:31,2,0.000000E+00
375,2020/05/13,08:46:45,1,3.742188E+01
376,2020/05/13,08:46:46,2,1.671875E+01
377,2020/05/13,08:47:00,1,9.687500E+00
378,2020/05/13,08:47:01,2,4.500000E+01
379,2020/05/13,08:47:15,1,2.812500E+01
380,2020/05/13,08:47:16,2,3.179688E+01
381,2020/05/13,08:47:30,1,5.234375E+01
382,2020/05/13,08:47:31,2,1.656250E+01
383,2020/05/13,08:47:45,1,0.000000E+00
384,2020/05/13,08:47:46,2,1.220313E+02
385,2020/05/13,08:48:00,1,8.945313E+01
386,2020/05/13,08:48:01,2,8.976563E+01
387,2020/05/13,08:48:15,1,7.140625E+01
388,2020/05/13,08:48:16,2,1.617188E+01
389,2020/05/13,08:48:30,1,0.000000E+00
390,2020/05/13,08:48:31,2,9.500000E+01
391,2020/05/13,08:48:45,1,1.168750E+02
392,2020/05/13,08:48:46,2,1.025000E+02
393,2020/05/13,08:49:00,1,1.158594E+02
394,2020/05/13,08:49:01,2,9.140626E+01
395,2020/05/13,08:49:15,1,5.593750E+01
396,2020/05/13,08:49:16,2,0.000000E+00
397,2020/05/13,08:49:30,1,4.984375E+01
398,2020/05/13,08:49:31,2,0.000000E+00
399,2020/05/13,08:49:45,1,8.835938E+01
400,2020/05/13,08:49:46,2,0.000000E+00
401,2020/05/13,08:50:00,1,1.157813E+02
402,2020/05/13,08:50:01,2,1.089844E+02
403,2020/05/13,08:50:15,1,1.017969E+02
404,2020/05/13,08:50:16,2,1.664063E+01
405,2020/05/13,08:50:30,1,1.151563E+02
406,2020/05/13,08:50:31,2,4.265625E+01
407,2020/05/13,08:50:45,1,7.226563E+01
408,2020/05/13,08:50:46,2,0.000000E+00
409,2020/05/13,08:51:00,1,1.016406E+02
410,2020/05/13,08:51:01,2,0.000000E+00
411,2020/05/13,08:51:15,1,0.000000E+00
412,2020/05/13,08:51:16,2,0.000000E+00
413,2020/05/13,08:51:30,1,4.453125E+01
414,2020/05/13,08:51:31,2,0.000000E+00
415,2020/05/13,08:51:45,1,7.250002E+01
416,2020/05/13,08:51:46,2,4.710938E+01
417,2020/05/13,08:52:00,1,8.750001E+01
418,2020/05/13,08:52:01,2,1.217969E+02
419,2020/05/13,08:52:15,1,0.000000E+00
420,2020/05/13,08:52:16,2,6.578125E+01
421,2020/05/13,08:52:30,1,0.000000E+00
422,2020/05/13,08:52:31,2,4.664063E+01
